hidden_dims,dropout,lr,weight_decay,val_f1_micro,val_loss,epochs
"(256, 128)",0.5,0.001,0.0001,0.9253347928287663,0.311552027463913,43
"(128, 64)",0.3,0.001,0.0001,0.925132364319664,0.3091340570151806,30
"(256, 128)",0.3,0.001,0.0001,0.9240802101483618,0.3741736027225852,45
"(128, 64)",0.5,0.001,0.0001,0.9226674118564054,0.3039928212761879,33
