Eksperiment,Konfiguracija,Test F1 micro,Test F1 macro,Test Subset Accuracy,Test Hamming Loss
C: MC + Klasicni ML,SVM + AAC-CV+TFIDF-SVD,0.8161764705882353,0.8063575422903035,0.7285714285714285,0.07857142857142857
D: MC + Deep Learning,MLP + ESM-2 embeddings,0.8975144705481785,0.8875410989793118,0.8642857142857143,0.043
