Eksperiment,Konfiguracija,Test F1 micro,Test F1 macro,Test Subset Accuracy,Test Hamming Loss
C: MC + Klasicni ML,SVM + AAC-CV+TFIDF-SVD,0.6909374593680926,0.6564075003151415,0.4443666899930021,0.1663400979706088
D: MC + Deep Learning,MLP + ESM-2 embeddings,0.7962023670178177,0.7837993656597466,0.5937718684394682,0.10965710286913925
